"year_rect","species","n_recs","min_start","max_start","earliest_end","latest_end","mean_start","mean_end","median_start","median_end","range_start","range_end"
1983,"Acer rubrum",2,92,105,105,106,98.5,105.5,98.5,105.5,13,1
1983,"Ilex decidua",1,132,132,132,132,132,132,132,132,0,0
1983,"Juglans nigra",2,136,137,136,137,136.5,136.5,136.5,136.5,1,1
1983,"Rubus laciniatus",1,155,155,215,215,155,215,155,215,0,0
1983,"Rubus spectabilis",2,65,90,65,90,77.5,77.5,77.5,77.5,25,25
1984,"Acer platanoides",1,87,87,121,121,87,121,87,121,0,0
1984,"Acer rubrum",1,91,91,138,138,91,138,91,138,0,0
1984,"Ilex decidua",2,93,114,114,114,103.5,114,103.5,114,21,0
1984,"Juglans nigra",1,139,139,175,175,139,175,139,175,0,0
1984,"Rubus laciniatus",3,162,181,181,184,168.333333333333,182,162,181,19,3
1985,"Acer platanoides",1,101,101,115,115,101,115,101,115,0,0
1985,"Acer rubrum",3,51,111,51,112,84,91.3333333333333,90,111,60,61
1985,"Ilex decidua",1,96,96,96,96,96,96,96,96,0,0
1985,"Juglans nigra",1,139,139,139,139,139,139,139,139,0,0
1985,"Rubus laciniatus",1,162,162,162,162,162,162,162,162,0,0
1985,"Rubus spectabilis",2,74,137,137,138,105.5,137.5,105.5,137.5,63,1
1986,"Acer platanoides",1,110,110,110,110,110,110,110,110,0,0
1986,"Acer rubrum",3,30,93,30,109,51,77.3333333333333,30,93,63,79
1986,"Ilex decidua",1,79,79,79,79,79,79,79,79,0,0
1986,"Rubus laciniatus",1,167,167,167,167,167,167,167,167,0,0
1986,"Rubus spectabilis",1,131,131,131,131,131,131,131,131,0,0
1987,"Acer rubrum",2,83,89,89,124,86,106.5,86,106.5,6,35
1987,"Ilex decidua",2,108,129,129,130,118.5,129.5,118.5,129.5,21,1
1987,"Juglans nigra",2,129,130,129,130,129.5,129.5,129.5,129.5,1,1
1987,"Rubus laciniatus",1,141,141,181,181,141,181,141,181,0,0
1987,"Rubus spectabilis",1,83,83,124,124,83,124,83,124,0,0
1988,"Acer platanoides",1,108,108,108,108,108,108,108,108,0,0
1988,"Acer rubrum",1,65,65,115,115,65,115,65,115,0,0
1988,"Juglans nigra",1,82,82,164,164,82,164,82,164,0,0
1988,"Rubus laciniatus",1,177,177,181,181,177,181,177,181,0,0
1988,"Rubus spectabilis",2,108,108,108,108,108,108,108,108,0,0
1989,"Acer platanoides",1,104,104,109,109,104,109,104,109,0,0
1989,"Acer rubrum",1,62,62,95,95,62,95,62,95,0,0
1989,"Ilex decidua",1,98,98,99,99,98,99,98,99,0,0
1990,"Acer rubrum",1,40,40,40,40,40,40,40,40,0,0
1990,"Juglans nigra",1,124,124,145,145,124,145,124,145,0,0
1990,"Rubus laciniatus",1,182,182,182,182,182,182,182,182,0,0
1990,"Rubus spectabilis",2,84,85,84,85,84.5,84.5,84.5,84.5,1,1
1991,"Acer rubrum",1,89,89,106,106,89,106,89,106,0,0
1991,"Ilex decidua",1,86,86,86,86,86,86,86,86,0,0
1991,"Juglans nigra",1,154,154,154,154,154,154,154,154,0,0
1991,"Rubus spectabilis",2,181,182,181,182,181.5,181.5,181.5,181.5,1,1
1992,"Acer platanoides",1,101,101,126,126,101,126,101,126,0,0
1992,"Acer rubrum",1,41,41,110,110,41,110,41,110,0,0
1992,"Ilex decidua",1,95,95,270,270,95,270,95,270,0,0
1992,"Juglans nigra",1,140,140,163,163,140,163,140,163,0,0
1992,"Rubus laciniatus",3,170,239,170,239,193,194,170,173,69,69
1992,"Rubus spectabilis",1,160,160,160,160,160,160,160,160,0,0
1993,"Acer platanoides",1,117,117,119,119,117,119,117,119,0,0
1993,"Acer rubrum",2,87,113,113,122,100,117.5,100,117.5,26,9
1993,"Ilex decidua",1,88,88,131,131,88,131,88,131,0,0
1993,"Juglans nigra",2,147,148,150,165,147.5,157.5,147.5,157.5,1,15
1993,"Rubus laciniatus",2,159,204,167,204,181.5,185.5,181.5,185.5,45,37
1993,"Rubus spectabilis",1,81,81,97,97,81,97,81,97,0,0
1994,"Acer platanoides",1,84,84,116,116,84,116,84,116,0,0
1994,"Acer rubrum",3,42,105,42,119,66,88.6666666666667,51,105,63,77
1994,"Juglans nigra",1,98,98,149,149,98,149,98,149,0,0
1994,"Rubus laciniatus",2,152,181,152,181,166.5,166.5,166.5,166.5,29,29
1995,"Acer platanoides",1,85,85,85,85,85,85,85,85,0,0
1995,"Acer rubrum",2,112,113,112,113,112.5,112.5,112.5,112.5,1,1
1995,"Juglans nigra",2,107,143,143,144,125,143.5,125,143.5,36,1
1995,"Rubus laciniatus",2,165,166,165,186,165.5,175.5,165.5,175.5,1,21
1995,"Rubus spectabilis",2,82,83,82,154,82.5,118,82.5,118,1,72
1996,"Acer platanoides",1,115,115,115,115,115,115,115,115,0,0
1996,"Acer rubrum",3,97,138,111,241,115.333333333333,163.333333333333,111,138,41,130
1996,"Ilex decidua",1,79,79,109,109,79,109,79,109,0,0
1996,"Juglans nigra",3,115,162,122,162,130.666666666667,135.333333333333,115,122,47,40
1996,"Rubus laciniatus",1,213,213,213,213,213,213,213,213,0,0
1996,"Rubus spectabilis",1,85,85,110,110,85,110,85,110,0,0
1997,"Acer platanoides",1,101,101,101,101,101,101,101,101,0,0
1997,"Acer rubrum",1,3,3,81,81,3,81,3,81,0,0
1997,"Ilex decidua",1,106,106,131,131,106,131,106,131,0,0
1997,"Juglans nigra",4,104,162,104,163,130.75,145.25,128.5,157,58,59
1997,"Rubus laciniatus",3,147,259,184,259,189.333333333333,220.666666666667,162,219,112,75
1997,"Rubus spectabilis",1,82,82,108,108,82,108,82,108,0,0
1998,"Acer platanoides",1,120,120,120,120,120,120,120,120,0,0
1998,"Acer rubrum",2,23,117,66,117,70,91.5,70,91.5,94,51
1998,"Ilex decidua",2,98,140,115,140,119,127.5,119,127.5,42,25
1998,"Juglans nigra",1,104,104,143,143,104,143,104,143,0,0
1998,"Rubus laciniatus",2,196,228,196,228,212,212,212,212,32,32
1998,"Rubus spectabilis",1,85,85,117,117,85,117,85,117,0,0
1999,"Acer platanoides",1,98,98,113,113,98,113,98,113,0,0
1999,"Acer rubrum",3,31,48,31,95,39,54.6666666666667,38,38,17,64
1999,"Ilex decidua",3,89,127,127,295,107.666666666667,183.333333333333,107,128,38,168
1999,"Rubus laciniatus",1,155,155,155,155,155,155,155,155,0,0
1999,"Rubus spectabilis",2,133,135,133,141,134,137,134,137,2,8
2000,"Acer platanoides",1,119,119,119,119,119,119,119,119,0,0
2000,"Acer rubrum",2,62,72,77,195,67,136,67,136,10,118
2000,"Ilex decidua",1,111,111,285,285,111,285,111,285,0,0
2000,"Juglans nigra",1,93,93,139,139,93,139,93,139,0,0
2000,"Rubus laciniatus",3,189,193,189,193,190.333333333333,191.666666666667,189,193,4,4
2000,"Rubus spectabilis",1,88,88,90,90,88,90,88,90,0,0
2001,"Acer platanoides",1,181,181,181,181,181,181,181,181,0,0
2001,"Acer rubrum",2,52,52,100,152,52,126,52,126,0,52
2001,"Ilex decidua",3,81,109,81,116,98.6666666666667,102,106,109,28,35
2001,"Juglans nigra",1,96,96,96,96,96,96,96,96,0,0
2001,"Rubus spectabilis",1,108,108,196,196,108,196,108,196,0,0
2002,"Acer platanoides",1,108,108,108,108,108,108,108,108,0,0
2002,"Acer rubrum",2,31,75,75,76,53,75.5,53,75.5,44,1
2002,"Ilex decidua",3,43,285,101,285,143.333333333333,162.666666666667,102,102,242,184
2002,"Juglans nigra",4,134,169,134,169,145,145,138.5,138.5,35,35
2002,"Rubus laciniatus",2,167,222,167,222,194.5,194.5,194.5,194.5,55,55
2002,"Rubus spectabilis",1,140,140,140,140,140,140,140,140,0,0
2003,"Acer platanoides",1,103,103,132,132,103,132,103,132,0,0
2003,"Acer rubrum",4,25,144,34,144,64.25,74.75,44,60.5,119,110
2003,"Ilex decidua",2,94,95,94,110,94.5,102,94.5,102,1,16
2003,"Juglans nigra",1,142,142,265,265,142,265,142,265,0,0
2003,"Rubus spectabilis",1,96,96,153,153,96,153,96,153,0,0
2004,"Acer platanoides",1,98,98,123,123,98,123,98,123,0,0
2004,"Acer rubrum",3,7,86,78,116,57,93.3333333333333,78,86,79,38
2004,"Ilex decidua",2,104,104,104,107,104,105.5,104,105.5,0,3
2004,"Juglans nigra",3,111,132,131,132,124.666666666667,131.333333333333,131,131,21,1
2004,"Rubus laciniatus",1,125,125,125,125,125,125,125,125,0,0
2004,"Rubus spectabilis",1,78,78,128,128,78,128,78,128,0,0
2005,"Acer rubrum",2,21,224,61,224,122.5,142.5,122.5,142.5,203,163
2005,"Ilex decidua",3,82,123,119,131,108,124.333333333333,119,123,41,12
2005,"Juglans nigra",2,123,167,123,167,145,145,145,145,44,44
2005,"Rubus spectabilis",1,76,76,119,119,76,119,76,119,0,0
2006,"Acer platanoides",1,110,110,112,112,110,112,110,112,0,0
2006,"Acer rubrum",6,21,98,49,118,64.8333333333333,85.8333333333333,77,91.5,77,69
2006,"Ilex decidua",2,260,306,260,306,283,283,283,283,46,46
2006,"Juglans nigra",2,105,146,146,147,125.5,146.5,125.5,146.5,41,1
2006,"Rubus laciniatus",2,168,181,207,214,174.5,210.5,174.5,210.5,13,7
2006,"Rubus spectabilis",2,85,86,85,151,85.5,118,85.5,118,1,66
2007,"Acer rubrum",2,12,100,100,120,56,110,56,110,88,20
2007,"Ilex decidua",3,71,310,82,310,151,167.666666666667,72,111,239,228
2007,"Juglans nigra",2,145,178,145,178,161.5,161.5,161.5,161.5,33,33
2007,"Rubus laciniatus",4,177,213,177,224,203.25,208.5,211.5,216.5,36,47
2007,"Rubus spectabilis",1,127,127,127,127,127,127,127,127,0,0
2008,"Acer platanoides",1,103,103,123,123,103,123,103,123,0,0
2008,"Acer rubrum",4,48,108,98,114,87.75,107,97.5,108,60,16
2008,"Ilex decidua",2,102,128,128,128,115,128,115,128,26,0
2008,"Juglans nigra",3,131,134,131,172,132,145.666666666667,131,134,3,41
2008,"Rubus spectabilis",1,82,82,196,196,82,196,82,196,0,0
2009,"Acer platanoides",1,114,114,114,114,114,114,114,114,0,0
2009,"Acer rubrum",4,58,114,58,149,78.75,106.25,71.5,109,56,91
2009,"Ilex decidua",2,80,268,126,268,174,197,174,197,188,142
2009,"Juglans nigra",2,141,142,141,154,141.5,147.5,141.5,147.5,1,13
2009,"Rubus laciniatus",2,161,162,161,208,161.5,184.5,161.5,184.5,1,47
2009,"Rubus spectabilis",1,97,97,135,135,97,135,97,135,0,0
2010,"Acer platanoides",1,97,97,97,97,97,97,97,97,0,0
2010,"Acer rubrum",3,59,106,76,150,80.3333333333333,110.666666666667,76,106,47,74
2010,"Ilex decidua",1,111,111,113,113,111,113,111,113,0,0
2010,"Juglans nigra",3,123,141,123,181,129.333333333333,148.333333333333,124,141,18,58
2010,"Rubus laciniatus",2,223,224,223,224,223.5,223.5,223.5,223.5,1,1
2010,"Rubus spectabilis",1,112,112,112,112,112,112,112,112,0,0
2011,"Acer platanoides",1,110,110,110,110,110,110,110,110,0,0
2011,"Acer rubrum",2,64,67,80,97,65.5,88.5,65.5,88.5,3,17
2011,"Ilex decidua",3,84,106,103,107,97.6666666666667,105.333333333333,103,106,22,4
2011,"Juglans nigra",1,91,91,136,136,91,136,91,136,0,0
2011,"Rubus spectabilis",1,122,122,125,125,122,125,122,125,0,0
2012,"Acer platanoides",1,105,105,105,105,105,105,105,105,0,0
2012,"Acer rubrum",2,69,131,74,131,100,102.5,100,102.5,62,57
2012,"Ilex decidua",2,167,260,167,260,213.5,213.5,213.5,213.5,93,93
2012,"Juglans nigra",4,108,171,108,173,125.75,142,112,143.5,63,65
2012,"Rubus laciniatus",1,227,227,259,259,227,259,227,259,0,0
2012,"Rubus spectabilis",2,116,125,125,130,120.5,127.5,120.5,127.5,9,5
2013,"Acer platanoides",1,119,119,119,119,119,119,119,119,0,0
2013,"Acer rubrum",12,3,125,3,125,85.5,98.8333333333333,103,111.5,122,122
2013,"Ilex decidua",1,109,109,138,138,109,138,109,138,0,0
2013,"Juglans nigra",3,140,142,140,142,141,141,141,141,2,2
2013,"Rubus laciniatus",3,206,259,206,259,224,224,207,207,53,53
2013,"Rubus spectabilis",1,105,105,168,168,105,168,105,168,0,0
2014,"Acer platanoides",1,108,108,108,108,108,108,108,108,0,0
2014,"Acer rubrum",13,10,132,10,134,92.4615384615385,100.461538461538,102,108,122,124
2014,"Ilex decidua",1,119,119,119,119,119,119,119,119,0,0
2014,"Juglans nigra",2,104,105,104,148,104.5,126,104.5,126,1,44
2014,"Rubus laciniatus",4,162,214,163,215,187,200.25,186,211.5,52,52
2014,"Rubus spectabilis",3,70,141,108,207,97,152,80,141,71,99
2015,"Acer platanoides",1,124,124,124,124,124,124,124,124,0,0
2015,"Acer rubrum",10,46,109,46,287,88.1,119.4,93.5,106,63,241
2015,"Juglans nigra",2,93,136,93,136,114.5,114.5,114.5,114.5,43,43
2015,"Rubus spectabilis",1,106,106,106,106,106,106,106,106,0,0
2016,"Acer platanoides",1,104,104,112,112,104,112,104,112,0,0
2016,"Acer rubrum",18,34,122,34,141,81.3333333333333,92.4444444444444,83,88.5,88,107
2016,"Ilex decidua",4,110,116,118,144,113.25,131.5,113.5,132,6,26
2016,"Juglans nigra",7,92,144,92,149,120.857142857143,128.571428571429,118,140,52,57
2016,"Rubus laciniatus",1,165,165,210,210,165,210,165,210,0,0
2016,"Rubus spectabilis",3,100,119,112,119,110.333333333333,116.666666666667,112,119,19,7
2017,"Acer platanoides",1,95,95,117,117,95,117,95,117,0,0
2017,"Acer rubrum",20,52,146,69,229,90,107.25,87.5,99.5,94,160
2017,"Ilex decidua",4,89,105,89,109,98.75,100.75,100.5,102.5,16,20
2017,"Juglans nigra",4,122,153,122,153,133.75,133.75,130,130,31,31
2017,"Rubus laciniatus",2,146,154,154,154,150,154,150,154,8,0
2017,"Rubus spectabilis",2,79,136,140,152,107.5,146,107.5,146,57,12
2018,"Acer platanoides",1,112,112,125,125,112,125,112,125,0,0
2018,"Acer rubrum",18,38,127,63,132,82.3888888888889,103.222222222222,83.5,107.5,89,69
2018,"Ilex decidua",3,76,87,76,106,79.6666666666667,88,76,82,11,30
2018,"Juglans nigra",3,132,144,132,144,136,136.666666666667,132,134,12,12
2018,"Rubus laciniatus",1,160,160,160,160,160,160,160,160,0,0
2018,"Rubus spectabilis",2,91,106,91,144,98.5,117.5,98.5,117.5,15,53
2019,"Acer platanoides",1,113,113,113,113,113,113,113,113,0,0
2019,"Acer rubrum",22,11,130,30,310,86.2727272727273,121,89,113.5,119,280
2019,"Ilex decidua",3,85,90,85,90,87.3333333333333,87.3333333333333,87,87,5,5
2019,"Juglans nigra",4,118,137,118,143,125,129.25,122.5,128,19,25
2019,"Rubus laciniatus",3,102,185,102,185,157,157,184,184,83,83
2019,"Rubus spectabilis",3,129,144,129,165,134.333333333333,141.333333333333,130,130,15,36
2020,"Acer platanoides",1,96,96,96,96,96,96,96,96,0,0
2020,"Acer rubrum",22,15,244,52,293,89.6363636363636,122.818181818182,91.5,94,229,241
2020,"Ilex decidua",1,124,124,124,124,124,124,124,124,0,0
2020,"Juglans nigra",4,69,143,128,143,119.75,136.75,133.5,138,74,15
2020,"Rubus laciniatus",1,178,178,178,178,178,178,178,178,0,0
2020,"Rubus spectabilis",1,176,176,176,176,176,176,176,176,0,0
2021,"Acer rubrum",25,14,122,57,365,79.72,125.28,85,103,108,308
2021,"Ilex decidua",2,102,308,102,308,205,205,205,205,206,206
2021,"Juglans nigra",5,79,147,79,147,123.8,128,130,137,68,68
2021,"Rubus laciniatus",2,163,195,163,208,179,185.5,179,185.5,32,45
2021,"Rubus spectabilis",2,94,145,106,154,119.5,130,119.5,130,51,48
2022,"Acer rubrum",1,57,57,57,57,57,57,57,57,0,0
2022,"Ilex decidua",1,101,101,101,101,101,101,101,101,0,0
2022,"Juglans nigra",1,146,146,146,146,146,146,146,146,0,0
2022,"Rubus spectabilis",1,137,137,167,167,137,167,137,167,0,0
2023,"Acer rubrum",1,28,28,106,106,28,106,28,106,0,0
2023,"Rubus spectabilis",1,120,120,120,120,120,120,120,120,0,0
2026,"Juglans nigra",1,129,129,129,129,129,129,129,129,0,0
