"year_rect","species","n_recs","min_start","max_start","earliest_end","latest_end","mean_start","mean_end","median_start","median_end","range_start","range_end"
1923,"Rubus spectabilis",1,105,105,105,105,105,105,105,105,0,0
1924,"Acer rubrum",1,124,124,124,124,124,124,124,124,0,0
1924,"Juglans nigra",1,139,139,151,151,139,151,139,151,0,0
1924,"Rubus spectabilis",2,117,117,117,117,117,117,117,117,0,0
1925,"Acer platanoides",1,124,124,124,124,124,124,124,124,0,0
1925,"Acer rubrum",1,116,116,116,116,116,116,116,116,0,0
1925,"Rubus laciniatus",1,212,212,212,212,212,212,212,212,0,0
1925,"Rubus spectabilis",1,213,213,213,213,213,213,213,213,0,0
1926,"Acer platanoides",1,121,121,121,121,121,121,121,121,0,0
1926,"Acer rubrum",1,106,106,116,116,106,116,106,116,0,0
1926,"Ilex decidua",1,143,143,143,143,143,143,143,143,0,0
1926,"Juglans nigra",1,144,144,149,149,144,149,144,149,0,0
1926,"Rubus laciniatus",2,150,168,168,311,159,239.5,159,239.5,18,143
1926,"Rubus spectabilis",2,53,73,102,178,63,140,63,140,20,76
1927,"Acer rubrum",1,115,115,115,115,115,115,115,115,0,0
1927,"Juglans nigra",1,103,103,103,103,103,103,103,103,0,0
1927,"Rubus laciniatus",2,238,281,238,281,259.5,259.5,259.5,259.5,43,43
1927,"Rubus spectabilis",2,110,172,207,208,141,207.5,141,207.5,62,1
1928,"Acer rubrum",1,52,52,221,221,52,221,52,221,0,0
1928,"Ilex decidua",1,133,133,133,133,133,133,133,133,0,0
1928,"Juglans nigra",1,148,148,148,148,148,148,148,148,0,0
1928,"Rubus laciniatus",1,214,214,214,214,214,214,214,214,0,0
1928,"Rubus spectabilis",2,78,92,92,200,85,146,85,146,14,108
1929,"Acer platanoides",1,95,95,95,95,95,95,95,95,0,0
1929,"Acer rubrum",3,95,300,95,300,163.666666666667,163.666666666667,96,96,205,205
1929,"Ilex decidua",1,117,117,117,117,117,117,117,117,0,0
1929,"Juglans nigra",1,131,131,131,131,131,131,131,131,0,0
1929,"Rubus laciniatus",2,182,190,191,191,186,191,186,191,8,0
1929,"Rubus spectabilis",2,83,127,127,132,105,129.5,105,129.5,44,5
1930,"Acer platanoides",1,115,115,115,115,115,115,115,115,0,0
1930,"Rubus laciniatus",1,141,141,141,141,141,141,141,141,0,0
1930,"Rubus spectabilis",2,62,108,190,207,85,198.5,85,198.5,46,17
1931,"Acer platanoides",1,110,110,112,112,110,112,110,112,0,0
1931,"Acer rubrum",1,65,65,110,110,65,110,65,110,0,0
1931,"Ilex decidua",1,108,108,108,108,108,108,108,108,0,0
1931,"Juglans nigra",1,134,134,134,134,134,134,134,134,0,0
1931,"Rubus laciniatus",2,187,188,187,188,187.5,187.5,187.5,187.5,1,1
1931,"Rubus spectabilis",3,91,158,158,234,117,183.666666666667,102,159,67,76
1932,"Juglans nigra",1,153,153,166,166,153,166,153,166,0,0
1932,"Rubus laciniatus",2,182,182,214,214,182,214,182,214,0,0
1932,"Rubus spectabilis",3,93,181,107,199,127,162.333333333333,107,181,88,92
1933,"Acer platanoides",1,127,127,139,139,127,139,127,139,0,0
1933,"Acer rubrum",3,87,118,87,119,97.6666666666667,108,88,118,31,32
1933,"Ilex decidua",1,99,99,99,99,99,99,99,99,0,0
1933,"Juglans nigra",2,135,136,135,179,135.5,157,135.5,157,1,44
1933,"Rubus laciniatus",1,173,173,194,194,173,194,173,194,0,0
1933,"Rubus spectabilis",2,101,139,139,220,120,179.5,120,179.5,38,81
1934,"Acer platanoides",1,116,116,121,121,116,121,116,121,0,0
1934,"Acer rubrum",1,106,106,121,121,106,121,106,121,0,0
1934,"Juglans nigra",3,120,152,148,155,140,151.666666666667,148,152,32,7
1934,"Rubus spectabilis",3,49,77,49,153,58.3333333333333,100.333333333333,49,99,28,104
1935,"Acer rubrum",1,104,104,112,112,104,112,104,112,0,0
1935,"Juglans nigra",1,139,139,142,142,139,142,139,142,0,0
1935,"Rubus spectabilis",3,85,168,167,185,140,173.666666666667,167,169,83,18
1936,"Acer platanoides",1,117,117,119,119,117,119,117,119,0,0
1936,"Acer rubrum",1,96,96,99,99,96,99,96,99,0,0
1936,"Juglans nigra",1,114,114,124,124,114,124,114,124,0,0
1936,"Rubus laciniatus",1,183,183,198,198,183,198,183,198,0,0
1936,"Rubus spectabilis",3,67,157,67,195,102,139.666666666667,82,157,90,128
1937,"Acer platanoides",1,85,85,85,85,85,85,85,85,0,0
1937,"Acer rubrum",1,25,25,162,162,25,162,25,162,0,0
1937,"Ilex decidua",1,113,113,122,122,113,122,113,122,0,0
1937,"Juglans nigra",2,122,145,145,152,133.5,148.5,133.5,148.5,23,7
1937,"Rubus laciniatus",3,171,225,171,225,204,204,216,216,54,54
1937,"Rubus spectabilis",2,85,136,136,233,110.5,184.5,110.5,184.5,51,97
1938,"Acer platanoides",1,153,153,153,153,153,153,153,153,0,0
1938,"Acer rubrum",2,82,107,107,108,94.5,107.5,94.5,107.5,25,1
1938,"Juglans nigra",1,99,99,157,157,99,157,99,157,0,0
1938,"Rubus laciniatus",2,172,172,186,217,172,201.5,172,201.5,0,31
1938,"Rubus spectabilis",2,75,76,134,171,75.5,152.5,75.5,152.5,1,37
1939,"Acer platanoides",1,124,124,133,133,124,133,124,133,0,0
1939,"Acer rubrum",1,67,67,128,128,67,128,67,128,0,0
1939,"Juglans nigra",1,135,135,135,135,135,135,135,135,0,0
1939,"Rubus spectabilis",3,85,190,150,190,120.333333333333,163.666666666667,86,151,105,40
1940,"Acer platanoides",1,92,92,158,158,92,158,92,158,0,0
1940,"Acer rubrum",4,88,142,90,167,111.5,131.25,108,134,54,77
1940,"Ilex decidua",1,108,108,108,108,108,108,108,108,0,0
1940,"Juglans nigra",1,115,115,175,175,115,175,115,175,0,0
1940,"Rubus laciniatus",1,219,219,219,219,219,219,219,219,0,0
